Year,State,LaborForceParticipation
1976/4/1,Louisiana,56.4
1976/4/1,Maine,61.8
1976/4/1,Maryland,64.1
1976/4/1,Massachusetts,64.6
1976/4/1,Michigan,61.6
1976/4/1,Minnesota,65.4
1976/4/1,Mississippi,58.5
1976/4/1,Missouri,60.4
1976/4/1,Montana,62.3
1976/4/1,Nebraska,64.8
1976/4/1,Nevada,70.4
1976/4/1,New Hampshire,65.7
1976/4/1,New Jersey,61.5
1976/4/1,New Mexico,60.3
1976/4/1,New York,58
1976/4/1,North Carolina,66.2
1976/4/1,North Dakota,62.5
1976/4/1,Ohio,61.6
1976/4/1,Oklahoma,59
1976/4/1,Oregon,62.4
1976/4/1,Pennsylvania,58.3
1976/4/1,Rhode Island,63.7
1976/4/1,South Carolina,64.9
1976/4/1,South Dakota,64.3
1976/4/1,Tennessee,59.3
1976/4/1,Texas,63.5
1976/4/1,Utah,62.5
1976/4/1,Vermont,63.5
1976/4/1,Virginia,65.5
1976/4/1,Washington,60.6
1976/4/1,West Virginia,52.3
1976/4/1,Wisconsin,65.4
1976/4/1,Wyoming,64.9
1976/5/1,Alabama,56.8
1976/5/1,Alaska,67.9
1976/5/1,Arizona,59.1
1976/5/1,Arkansas,57.7
1976/5/1,California,62.3
1976/5/1,Colorado,66.5
1976/5/1,Connecticut,64.3
1976/5/1,Delaware,62.4
1976/5/1,District of Columbia,64.4
1976/5/1,Florida,55.4
1976/5/1,Georgia,63.6
1976/5/1,Hawaii,69.3
1976/5/1,Idaho,62.8
1976/5/1,Illinois,63
1976/5/1,Indiana,63.9
1976/5/1,Iowa,64.1
1976/5/1,Kansas,65.1
1976/5/1,Kentucky,60.1
1976/5/1,Louisiana,56.4
1976/5/1,Maine,61.7
1976/5/1,Maryland,64.1
1976/5/1,Massachusetts,64.6
1976/5/1,Michigan,61.7
1976/5/1,Minnesota,65.5
1976/5/1,Mississippi,58.5
1976/5/1,Missouri,60.6
1976/5/1,Montana,62.2
1976/5/1,Nebraska,64.8
1976/5/1,Nevada,70.5
1976/5/1,New Hampshire,66
1976/5/1,New Jersey,61.6
1976/5/1,New Mexico,60.3
1976/5/1,New York,58.1
1976/5/1,North Carolina,66.3
1976/5/1,North Dakota,62.6
1976/5/1,Ohio,61.6
1976/5/1,Oklahoma,59
1976/5/1,Oregon,62.5
1976/5/1,Pennsylvania,58.3
1976/5/1,Rhode Island,63.6
1976/5/1,South Carolina,64.7
1976/5/1,South Dakota,64.3
1976/5/1,Tennessee,59.4
1976/5/1,Texas,63.6
1976/5/1,Utah,62.6
1976/5/1,Vermont,63.6
1976/5/1,Virginia,65.4
1976/5/1,Washington,60.7
1976/5/1,West Virginia,52.2
1976/5/1,Wisconsin,65.5
1976/5/1,Wyoming,65.2
1976/6/1,Alabama,56.9
1976/6/1,Alaska,68.3
1976/6/1,Arizona,59.3
1976/6/1,Arkansas,57.7
1976/6/1,California,62.4
1976/6/1,Colorado,66.4
1976/6/1,Connecticut,64.5
1976/6/1,Delaware,62.5
1976/6/1,District of Columbia,64.3
1976/6/1,Florida,55.4
1976/6/1,Georgia,63.7
1976/6/1,Hawaii,69.3
1976/6/1,Idaho,63.1
1976/6/1,Illinois,63
1976/6/1,Indiana,64
1976/6/1,Iowa,64.2
1976/6/1,Kansas,65.3
1976/6/1,Kentucky,60.1
1976/6/1,Louisiana,56.5
1976/6/1,Maine,61.8
1976/6/1,Maryland,64.2
1976/6/1,Massachusetts,64.7
1976/6/1,Michigan,61.8
1976/6/1,Minnesota,65.7
1976/6/1,Mississippi,58.5
1976/6/1,Missouri,60.8
1976/6/1,Montana,62.1
1976/6/1,Nebraska,64.9
1976/6/1,Nevada,70.7
1976/6/1,New Hampshire,66.3
1976/6/1,New Jersey,61.7
1976/6/1,New Mexico,60.3
1976/6/1,New York,58.1
1976/6/1,North Carolina,66.3
1976/6/1,North Dakota,62.7
1976/6/1,Ohio,61.5
1976/6/1,Oklahoma,58.9
1976/6/1,Oregon,62.6
1976/6/1,Pennsylvania,58.3
1976/6/1,Rhode Island,63.5
1976/6/1,South Carolina,64.7
1976/6/1,South Dakota,64.5
1976/6/1,Tennessee,59.5
1976/6/1,Texas,63.8
1976/6/1,Utah,62.8
1976/6/1,Vermont,63.8
1976/6/1,Virginia,65.4
1976/6/1,Washington,61
1976/6/1,West Virginia,52
1976/6/1,Wisconsin,65.6
1976/6/1,Wyoming,65.5
1976/7/1,Alabama,56.9
1976/7/1,Alaska,68.3
1976/7/1,Arizona,59.4
1976/7/1,Arkansas,57.8
1976/7/1,California,62.5
1976/7/1,Colorado,66.4
1976/7/1,Connecticut,64.6
1976/7/1,Delaware,62.5
1976/7/1,District of Columbia,64.1
1976/7/1,Florida,55.3
1976/7/1,Georgia,63.9
1976/7/1,Hawaii,69.2
1976/7/1,Idaho,63.2
1976/7/1,Illinois,63
1976/7/1,Indiana,64.1
1976/7/1,Iowa,64.2
1976/7/1,Kansas,65.4
1976/7/1,Kentucky,60
1976/7/1,Louisiana,56.6
1976/7/1,Maine,61.6
1976/7/1,Maryland,64.3
1976/7/1,Massachusetts,64.8
1976/7/1,Michigan,61.9
1976/7/1,Minnesota,65.8
1976/7/1,Mississippi,58.5
1976/7/1,Missouri,61
1976/7/1,Montana,62.2
1976/7/1,Nebraska,65.1
1976/7/1,Nevada,70.8
1976/7/1,New Hampshire,66.6
1976/7/1,New Jersey,61.8
1976/7/1,New Mexico,60.4
1976/7/1,New York,58.2
1976/7/1,North Carolina,66.3
1976/7/1,North Dakota,62.9
1976/7/1,Ohio,61.4
1976/7/1,Oklahoma,58.9
1976/7/1,Oregon,62.9
1976/7/1,Pennsylvania,58.3
1976/7/1,Rhode Island,63.4
1976/7/1,South Carolina,64.6
1976/7/1,South Dakota,64.6
1976/7/1,Tennessee,59.7
1976/7/1,Texas,63.9
1976/7/1,Utah,63
1976/7/1,Vermont,63.8
1976/7/1,Virginia,65.3
1976/7/1,Washington,61.4
1976/7/1,West Virginia,51.8
1976/7/1,Wisconsin,65.7
1976/7/1,Wyoming,65.8
1976/8/1,Alabama,57
1976/8/1,Alaska,68.5
1976/8/1,Arizona,59.6
1976/8/1,Arkansas,57.8
1976/8/1,California,62.6
1976/8/1,Colorado,66.5
1976/8/1,Connecticut,64.6
1976/8/1,Delaware,62.5
1976/8/1,District of Columbia,64
1976/8/1,Florida,55.2
1976/8/1,Georgia,63.9
1976/8/1,Hawaii,69.1
1976/8/1,Idaho,63.4
1976/8/1,Illinois,63
1976/8/1,Indiana,64.2
1976/8/1,Iowa,64.2
1976/8/1,Kansas,65.6
1976/8/1,Kentucky,60
1976/8/1,Louisiana,56.6
1976/8/1,Maine,61.6
1976/8/1,Maryland,64.3
1976/8/1,Massachusetts,64.9
1976/8/1,Michigan,61.9
1976/8/1,Minnesota,66
1976/8/1,Mississippi,58.5
1976/8/1,Missouri,61.2
1976/8/1,Montana,62.2
1976/8/1,Nebraska,65.2
1976/8/1,Nevada,71
1976/8/1,New Hampshire,66.7
1976/8/1,New Jersey,61.8
1976/8/1,New Mexico,60.4
1976/8/1,New York,58.2
1976/8/1,North Carolina,66.2
1976/8/1,North Dakota,63
1976/8/1,Ohio,61.4
1976/8/1,Oklahoma,58.9
1976/8/1,Oregon,63.2
1976/8/1,Pennsylvania,58.3
1976/8/1,Rhode Island,63.3
1976/8/1,South Carolina,64.5
1976/8/1,South Dakota,64.7
1976/8/1,Tennessee,59.9
1976/8/1,Texas,63.9
1976/8/1,Utah,63
1976/8/1,Vermont,63.7
1976/8/1,Virginia,65.3
1976/8/1,Washington,61.7
1976/8/1,West Virginia,51.5
1976/8/1,Wisconsin,65.8
1976/8/1,Wyoming,65.9
1976/9/1,Alabama,57.1
1976/9/1,Alaska,68.8
1976/9/1,Arizona,59.7
1976/9/1,Arkansas,57.8
1976/9/1,California,62.7
1976/9/1,Colorado,66.6
1976/9/1,Connecticut,64.5
1976/9/1,Delaware,62.7
1976/9/1,District of Columbia,64
1976/9/1,Florida,55.1
1976/9/1,Georgia,64
1976/9/1,Hawaii,68.9
1976/9/1,Idaho,63.5
1976/9/1,Illinois,62.9
1976/9/1,Indiana,64.2
1976/9/1,Iowa,64.3
1976/9/1,Kansas,65.7
1976/9/1,Kentucky,59.9
1976/9/1,Louisiana,56.6
1976/9/1,Maine,61.4
1976/9/1,Maryland,64.4
1976/9/1,Massachusetts,64.9
1976/9/1,Michigan,61.9
1976/9/1,Minnesota,66.1
1976/9/1,Mississippi,58.5
1976/9/1,Missouri,61.3
1976/9/1,Montana,62.4
1976/9/1,Nebraska,65.3
1976/9/1,Nevada,70.9
1976/9/1,New Hampshire,66.7
1976/9/1,New Jersey,61.9
1976/9/1,New Mexico,60.5
1976/9/1,New York,58.1
1976/9/1,North Carolina,66.2
1976/9/1,North Dakota,63.2
1976/9/1,Ohio,61.3
1976/9/1,Oklahoma,58.9
1976/9/1,Oregon,63.4
1976/9/1,Pennsylvania,58.3
1976/9/1,Rhode Island,63.2
1976/9/1,South Carolina,64.5
1976/9/1,South Dakota,64.8
1976/9/1,Tennessee,60
1976/9/1,Texas,63.9
1976/9/1,Utah,63
1976/9/1,Vermont,63.5
1976/9/1,Virginia,65.3
1976/9/1,Washington,62
1976/9/1,West Virginia,51.3
1976/9/1,Wisconsin,65.9
1976/9/1,Wyoming,66
1976/10/1,Alabama,57.1
1976/10/1,Alaska,68.8
1976/10/1,Arizona,59.8
1976/10/1,Arkansas,57.8
1976/10/1,California,62.8
1976/10/1,Colorado,66.8
1976/10/1,Connecticut,64.4
1976/10/1,Delaware,62.7
1976/10/1,District of Columbia,63.9
1976/10/1,Florida,55
1976/10/1,Georgia,64.1
1976/10/1,Hawaii,68.9
1976/10/1,Idaho,63.7
1976/10/1,Illinois,62.9
1976/10/1,Indiana,64.1
1976/10/1,Iowa,64.4
1976/10/1,Kansas,65.7
1976/10/1,Kentucky,59.8
1976/10/1,Louisiana,56.6
1976/10/1,Maine,61.4
1976/10/1,Maryland,64.4
1976/10/1,Massachusetts,64.9
